#linear,groundtruth,nonpoly
-1*y+1*~(x|y)+1*(x&y),1*~y-1*(x^y),-1*(-1*(x&y)+2*(x|~y)+1*~(x|~y)-2*~y)+1*~(x|y)+1*(x&(-1*(x&y)+2*(x|~y)+1*~(x|~y)-2*~y))
3*x+1*~x-2*(x&~y),3*(x&y)+1*~(x&y),4*((3*x)&(+1*~x))+5*((3*x)&~(+1*~x))-2*~((3*x)&~(3*x))+4*~((3*x)|(+1*~x))+3*~((3*x)|~(+1*~x))-2*~(+1*~x)-2*(x&~y)
2*~(x&~x)-3*~(x|~y)-3*(x&y),2*~y-1*y,2*((2*~(x&~x))&(-3*~(x|~y)))+1*((2*~(x&~x))&~(-3*~(x|~y)))+3*((2*~(x&~x))|(-3*~(x|~y)))-3*((2*~(x&~x))|~(-3*~(x|~y)))+3*~((2*~(x&~x))|(-3*~(x|~y)))-2*~((2*~(x&~x))|~(-3*~(x|~y)))-3*(x&y)
4*(x|y)-6*(x^y)+3*(x&~y)-3*(x&y),1*x-2*~(x|~y),4*(x|(-6*(x&y)-7*(x&~y)+2*x+5*~(x&~x)-5*~(x|y)-4*~(x|~y)))-6*(x^y)+3*(x&~y)-3*(x&(-6*(x&y)-7*(x&~y)+2*x+5*~(x&~x)-5*~(x|y)-4*~(x|~y)))
-1*~(x&~y)+5*~(x^y)+1*(x|y)-1*(x&~y),5*(x&y)+4*~(x|y),-5*((-1*~(x&~y))&(+5*~(x^y)))-2*((-1*~(x&~y))&~(+5*~(x^y)))+3*~((-1*~(x&~y))&~(-1*~(x&~y)))+4*~((-1*~(x&~y))&~(+5*~(x^y)))-7*~((-1*~(x&~y))|(+5*~(x^y)))-6*~((-1*~(x&~y))|~(+5*~(x^y)))+1*(x|y)-1*(x&~y)
1*~(x&~y)-1*(x|y)-1*~(x|y)+1*~(x|~y),1*(x^y)-2*(x&~y),1*((1*~(x&~y))&(-1*(x|y)))+2*((1*~(x&~y))|(-1*(x|y)))-1*~((1*~(x&~y))&~(1*~(x&~y)))+1*~((1*~(x&~y))|(-1*(x|y)))-1*~(x|y)+1*~(x|~y)
-11*~x-2*(x|~y)+13*~(x|y)+2*(x&~y),9*(x&y)-11*y,-11*~x-2*(x|~y)+13*~(x|y)+2*(x&~(4*(x&y)-3*(x&~y)+3*(x|~y)-6*~(x^y)+3*~(x|y)+1*~(x|~y)))
1*~(x&~x)-1*y+1*~(x|y)+2*~(x|~y),2*~x+1*(x&~y),1*~(x&~x)-1*y+1*~(x|y)+2*~(x|~(4*(x&y)-3*~(x^y)+6*~(x|y)+4*~(x|~y)-3*~x))
-1*~(x&~y)+1*~(x|y)+1*(x&~y)+1*(x&y),-1*y+1*x,-1*~(x&~(4*(x&y)+2*(x&~y)+1*(x^y)-3*~(x&~x)+3*~(x|y)+3*~(x|~y)))+1*~(x|y)+1*(x&~y)+1*(x&(4*(x&y)+2*(x&~y)+1*(x^y)-3*~(x&~x)+3*~(x|y)+3*~(x|~y)))
1*(x|~y)+2*~x-3*~(x&~x)+3*(x&y),-2*(x^y)+1*y,-2*((1*(x|~y))&(+2*~x))+1*((1*(x|~y))&~(+2*~x))-3*~((1*(x|~y))&~(+2*~x))+7*~((1*(x|~y))^(+2*~x))-4*~((1*(x|~y))|(+2*~x))+4*~((1*(x|~y))|~(+2*~x))-3*~(x&~x)+3*(x&y)
-1*(x^y)-1*(x|y)-3*(x&~y)-4*(x&y),-5*x-2*~(x|~y),9*((-1*(x^y))&(-1*(x|y)))+19*((-1*(x^y))&~(-1*(x|y)))-11*((-1*(x^y))^(-1*(x|y)))-7*((-1*(x^y))|~(-1*(x|y)))+7*~((-1*(x^y))|(-1*(x|y)))+12*~((-1*(x^y))|~(-1*(x|y)))-3*(x&~y)-4*(x&y)
-2*x-1*(x|~y)-2*~x+3*~(x|y)+3*(x&y),-3*(x&~y)-2*~(x|~y),-2*x-1*(x|~y)-2*~x+3*~(x|y)+3*(x&(12*(x&y)+1*(x&~y)-1*(x^y)-11*~(x^y)+11*~(x|y)+2*~(x|~y)))
7*~y-1*x+3*~(x|~y)+1*(x&~y)+11*(x&y),3*y+7*(x|~y),2*((7*~y)&(-1*x))-12*((7*~y)&~(-1*x))+2*((7*~y)^(-1*x))+11*~((7*~y)&(-1*x))-11*~((7*~y)|(-1*x))-12*~((7*~y)|~(-1*x))+3*~(x|~y)+1*(x&~y)+11*(x&y)
7*y+1*x-8*~(x|~y)-2*(x&~y)-8*(x&y),-1*(x^y),7*(2*(x&y)-2*(x&~y)-1*y+2*~(x&y)-2*~(x|y))+1*x-8*~(x|~y)-2*(x&~y)-8*(x&(2*(x&y)-2*(x&~y)-1*y+2*~(x&y)-2*~(x|y)))
5*~(x^y)-11*x-6*~(x&y)+1*~x+6*(x&y),-17*(x&~y)-5*~(x|~y),5*~(x^(7*(x&y)+7*(x&~y)-1*(x^y)-6*~(x&~x)+6*~(x|y)+8*~(x|~y)))-11*x-6*~(x&y)+1*~x+6*(x&(7*(x&y)+7*(x&~y)-1*(x^y)-6*~(x&~x)+6*~(x|y)+8*~(x|~y)))
5*y+1*~(x&~y)-1*~(x|y)-17*~(x|~y)-17*(x&y),-11*(x|y)+11*(x&~y),-9*((5*y)&(+1*~(x&~y)))-10*((5*y)&~(+1*~(x&~y)))+11*~((5*y)&(+1*~(x&~y)))+11*~((5*y)^(+1*~(x&~y)))-22*~((5*y)|(+1*~(x&~y)))-10*~((5*y)|~(+1*~(x&~y)))-1*~(x|y)-17*~(x|~y)-17*(x&y)
-1*~(x&~y)+7*~x-7*~(x&y)+1*~y+6*(x&~y),-1*y,-1*~(x&~(8*(x&y)+7*(x&~y)-7*~(x&~x)+14*~(x|y)+15*~(x|~y)-7*~x))+7*~x-7*~(x&y)+1*~y+6*(x&~(8*(x&y)+7*(x&~y)-7*~(x&~x)+14*~(x|y)+15*~(x|~y)-7*~x))
1*~(x&~x)+3*~x-11*~(x|y)-4*~(x|~y)-1*(x&y),-7*~y+8*(x&~y),-3*((1*~(x&~x))&~(+3*~x))+2*(+3*~x)+4*~((1*~(x&~x))&(+3*~x))-4*~((1*~(x&~x))|(+3*~x))-5*~((1*~(x&~x))|~(+3*~x))-11*~(x|y)-4*~(x|~y)-1*(x&y)
1*~(x&~y)-7*(x|~y)-1*(x^y)+6*~(x|y)+8*(x&~y),-6*(x&y),1*~(x&~(-3*(x&y)+1*(x&~y)+4*~(x&~x)+1*~(x|y)-3*~(x|~y)-5*~y))-7*(x|~y)-1*(x^y)+6*~(x|y)+8*(x&~(-3*(x&y)+1*(x&~y)+4*~(x&~x)+1*~(x|y)-3*~(x|~y)-5*~y))
3*(x|~y)-3*~(x&y)-1*~(x|y)+2*~(x|~y)-4*(x&y),-1*~(x&~y),6*((3*(x|~y))&(-3*~(x&y)))+5*((3*(x|~y))&~(-3*~(x&y)))-2*((3*(x|~y))|~(-3*~(x&y)))-2*~((3*(x|~y))&~(3*(x|~y)))+4*~((3*(x|~y))|(-3*~(x&y)))+3*~((3*(x|~y))|~(-3*~(x&y)))-1*~(x|y)+2*~(x|~y)-4*(x&y)
3*(x|y)+1*x-1*~(x&y)-4*(x&~y)-5*(x&y),-1*(x|~y)+2*~(x|~y),-3*((3*(x|y))&(+1*x))+5*~((3*(x|y))&~(+1*x))-6*~((3*(x|y))|(+1*x))-4*~((3*(x|y))|~(+1*x))+1*~(+1*x)-1*~(x&y)-4*(x&~y)-5*(x&y)
3*~y+1*x-3*~(x|y)-1*~(x|~y)-4*(x&~y),-1*y+2*(x&y),9*((3*~y)&(+1*x))+8*((3*~y)&~(+1*x))-7*~((3*~y)&~(3*~y))+9*~((3*~y)|(+1*x))+10*~((3*~y)|~(+1*x))-2*~(3*~y)-3*~(x|y)-1*~(x|~y)-4*(x&~y)
1*~(x^y)-3*(x|y)-1*~(x|y)+3*(x&~y)+1*(x&y),-2*~(x|~y)-1*y,3*((1*~(x^y))&(-3*(x|y)))+13*((1*~(x^y))&~(-3*(x|y)))-11*((1*~(x^y))^(-3*(x|y)))-1*((1*~(x^y))|(-3*(x|y)))+13*~((1*~(x^y))|~(-3*(x|y)))-1*~(x|y)+3*(x&~y)+1*(x&y)
3*~(x&y)-1*(x^y)-2*~(x&~y)-2*(x&~y)+2*(x&y),1*~(x|y),13*((3*~(x&y))&(-1*(x^y)))+13*((3*~(x&y))&~(-1*(x^y)))-11*((3*~(x&y))|~(-1*(x^y)))-1*~((3*~(x&y))&(-1*(x^y)))+12*~((3*~(x&y))|(-1*(x^y)))+2*~((3*~(x&y))|~(-1*(x^y)))-2*~(x&~y)-2*(x&~y)+2*(x&y)
